,,Ωbh2,Ωch2,h,τ,ns,lnA,logL,logL_birth,nlive
labels,,$\Omega_b h^2$,$\Omega_c h^2$,$h$,$\tau$,$n_s$,$\ln(10^{10}A_s)$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
0,0.0,0.019059090120147393,0.24965263240986568,0.7080185700065624,0.10089469850238365,0.898939853395272,1.730701393221815,-12389497.623429883,-inf,1000
1,0.0,0.02272177219942933,0.24128586892520637,0.744585474966786,0.09986520964654641,0.9158754203686359,1.6819672691550154,-10998608.127719609,-inf,999
2,0.0,0.019687697669377557,0.2109289703954157,0.7827261237324672,0.10439214941038802,0.9838816297640037,1.672321369116404,-10927892.104607288,-inf,998
3,0.0,0.019063754848701625,0.19593391585230552,0.7052760983742221,0.09792641585535582,0.8612358740877064,1.7505727609636808,-10245032.347914295,-inf,997
4,0.0,0.022405924992056882,0.2458142827262772,0.6505381355012883,0.08064288139287158,0.9046314704651461,1.671035627152413,-9705332.443394434,-inf,996
5,0.0,0.0256517568592445,0.22566461815441813,0.675599669816901,0.07326972708599841,0.8795240248213078,1.6129980303342715,-9446586.281351563,-inf,995
6,0.0,0.02214177678364294,0.18139791718465398,0.7849518129994215,0.07323772940077697,0.9069911709533774,1.6417467606077951,-9430931.501254609,-inf,994
7,0.0,0.022865998759410856,0.18517301996988028,0.7688295308057383,0.04843376847151761,0.8531950128361545,1.6399160386267002,-9311626.745394094,-inf,993
8,0.0,0.020742867514872296,0.20606212653167438,0.6745796102948005,0.08236464169201232,0.9275202343194646,1.6538385608365316,-9205159.094472628,-inf,992
9,0.0,0.019656212949550757,0.1457370202157862,0.7899918195619478,0.0871086925835464,0.8438049598080256,1.7166275475671087,-9098872.943417883,-inf,991
10,0.0,0.019230057080682653,0.1937967686821092,0.7515730022068414,0.04703672925910613,0.8702497226092238,1.7624587391180568,-8893511.070562204,-inf,990
11,0.0,0.019452901930027668,0.1852889015220967,0.6710157196811395,0.07623703279914064,0.8886798591606473,1.6926934671076186,-8752376.439825341,-inf,989
12,0.0,0.022553130117543493,0.14206613707375051,0.8045006653415474,0.11763505225992013,0.864024735685992,1.7024722753810921,-8734996.363760188,-inf,988
13,0.0,0.020918772501057857,0.20292283686442647,0.7617741989279303,0.06653865634321603,0.9903453076150865,1.6567193734214283,-8655703.457158139,-inf,987
14,0.0,0.02114881787897909,0.17823418708735833,0.736207267034062,0.050444013962209516,0.8902747215655418,1.6399054068105527,-8647848.568196736,-inf,986
15,0.0,0.022319219579310063,0.19513534040750774,0.801976738631722,0.04372426649967734,0.8470002395259114,1.7556437057054084,-8634849.773084033,-inf,985
16,0.0,0.026104531375885143,0.20535674141811572,0.7510995566698468,0.09200933801215261,0.8867464050645754,1.7143375545027009,-8545187.7593422,-inf,984
17,0.0,0.024147758945947784,0.17453113375288304,0.7259670599284387,0.11695924512238495,0.9680475832335137,1.6102855807804017,-8462737.053172901,-inf,983
18,0.0,0.02497782996192283,0.22944331530041262,0.740179903181502,0.06278904113522288,0.9686138068501298,1.6374472115857266,-8382469.4657695955,-inf,982
19,0.0,0.025684743961261743,0.16646996886732618,0.7697819823016613,0.11367212827277373,0.9024889598716154,1.6833306319075219,-8203193.554109006,-inf,981
20,0.0,0.0229671598346255,0.24938130421641486,0.7730377931508581,0.09406472802409674,0.9000787076557302,1.915132969979524,-8085336.525731717,-inf,980
21,0.0,0.020563067164066688,0.18240913374165962,0.7873365199396448,0.06833988120150866,0.9174528797325601,1.7651927037947737,-8065555.145114222,-inf,979
22,0.0,0.02414615684383551,0.17773618814723902,0.7814682202975328,0.08970682195847021,0.9906533495672402,1.6202039750327422,-8057306.69860884,-inf,978
23,0.0,0.02132422517228611,0.17976267183328987,0.655005588315692,0.10059184946234126,0.9701338696763441,1.6164208729516776,-8014747.22952459,-inf,977
24,0.0,0.020475139009088497,0.2023141791735199,0.7514820226726102,0.054764432963674656,1.0051351228308039,1.667691445711849,-7989849.923739221,-inf,976
25,0.0,0.022162691191531737,0.20825003532214414,0.7421910286880895,0.047081122103401075,1.0162788474850906,1.6229275492102084,-7663594.010574124,-inf,975
26,0.0,0.025934357646831097,0.22417545909910364,0.666508148394385,0.06467427463619249,0.8764474714674205,1.7185039612997692,-7549606.910087235,-inf,974
